answer	qid
The lion was sleeping in a lair.	fables-06-1
The Mouse, terrified, piteously entreated him to spare its life.	fables-06-2
him	fables-06-3
One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.	fables-06-4
One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.	fables-06-5
The lion awaked because a mouse ran into the face of the lion.	fables-06-6
A trapper spread some net in order to catch a big game.	fables-06-7
The lion entangled himself in the net.	fables-06-8
gnawing the rope of the net with the tooth of the mouse	fables-06-9
Louisiana was adversely affected by Hurricane Gustav.	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush came to Baton Rouge yesterday to assess the damage.	blogs-03-4
Once, storm was occurring in Louisiana.	blogs-03-5
The narrator went back to a store named Home Depot in order to purchase a portable generator.	blogs-03-6
a large group of pine trees	blogs-03-7
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.	blogs-03-8
The narrator brought the family of the narrator to the house of the parent of the narrator.	blogs-03-9
An oven	blogs-06-1
a group of treats and created some fire	blogs-06-2
The husband of the narrator unsuccessfully tried to eliminate the fire.	blogs-06-3
the door of the oven	blogs-06-4
A couple of weeks ago we had a fire in our old oven/range.	blogs-06-5
The oven	blogs-06-6
I ran and got a fire extinguisher.	blogs-06-7
Luckily the fire extinguisher worked but our stove was toast.	blogs-06-8
a plug-in burner griddle and counter	blogs-06-9
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-2
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-3
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.	fables-01-4
The fox came and stood under the tree.	fables-01-5
that the fox had flattered her	fables-01-6
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-7
A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.	fables-02-1
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-2
The bull was grazing in a meadow.	fables-02-3
The bull was grazing in a meadow.	fables-02-4
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-5
that the lion was friendly	fables-02-6
A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.	fables-02-7
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-8
to eat the bull	fables-02-9
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-10
sharp every horn of the bull	fables-02-11
A summit meeting named G20 summit started on eventful today.	blogs-01-1
A summit meeting named G20 summit started on eventful today.	blogs-01-2
The people protested peacefully on a street.	blogs-01-3
a police car	blogs-01-4
The people rebelled and created riot.	blogs-01-5
The people rebelled and created riot.	blogs-01-6
The people burned a police car and threw a thing at a police.	blogs-01-7
The people burned a police car and threw a thing at a police.	blogs-01-8
a police car	blogs-01-9
Police cars were burned and things were thrown at cops.	blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-12
windows of stores	blogs-01-13
A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.	fables-04-1
A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.	fables-04-2
The fox only served some soup in a flat and large dish.	fables-04-3
A clever fox invited a stork to dine.	fables-04-4
The fox only served some soup in a flat and large dish.	fables-04-5
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.	fables-04-6
the long bill of the stork	fables-04-7
Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.	fables-04-8
