synset_id,synset_offset,story_noun,stories
pitcher.n.02,3950228,pitcher,"'fables-04.vgl'"
banquet.n.02,7578093,banquet,"'fables-07.vgl'"
bird.n.01,1503061,bird,"'fables-01.vgl'"
electricity.n.03,7514600,electricity,"'blogs-03.vgl'"
eyeball.n.01,5316025,eyeball,"'blogs-02.vgl'"
crop.n.02,11530512,crop,"'fables-05.vgl'"
dinner.n.01,7575726,dinner,"'fables-04.vgl'"
gusto.n.01,7491981,gusto,"'fables-04.vgl'"
soup.n.01,7583197,soup,"'fables-04.vgl'"
oven.n.01,3862676,oven,"'blogs-06.vgl'"
classroom.n.01,3038685,classroom,"'blogs-05.vgl'"
deck.n.04,3168107,deck,"'blogs-04.vgl'"
fire_extinguisher.n.01,3345837,fire_extinguisher,"'blogs-06.vgl'"
lawn_mower.n.01,3649909,lawn_mower,"'blogs-03.vgl'"
agriculturist.n.01,9779790,agriculturist,"'fables-05.vgl'"
teacher.n.01,10694258,teacher,"'blogs-05.vgl'"
overlord.n.01,10388440,overlord,"'fables-07.vgl'"
flash.n.10,3358172,flash,"'blogs-02.vgl'"
house.n.01,3544360,house,"'blogs-06.vgl'"
dwelling.n.01,3259505,dwelling,"'blogs-03.vgl'"
generator.n.04,3434285,generator,"'blogs-03.vgl'"
snake.n.01,1726692,snake,"'fables-03.vgl'"
tree.n.01,13104059,tree,"'fables-01.vgl', 'blogs-03.vgl'"
neighbor.n.01,10352299,neighbor,"'blogs-03.vgl'"
crow.n.01,1579028,crow,"'fables-01.vgl'"
squirrel.n.01,2355227,squirrel,"'blogs-04.vgl'"
wits.n.01,5622196,wits,"'fables-01.vgl'"
lair.n.01,8591399,lair,"'fables-06.vgl'"
garbage.n.01,14857151,garbage,"'fables-07.vgl'"
topographic_point.n.01,8664443,topographic_point,"'fables-06.vgl'"
fiber.n.05,3331244,fiber,"'fables-05.vgl'"
trapper.n.01,10726233,trapper,"'fables-06.vgl'"
griddle.n.01,3459328,griddle,"'blogs-06.vgl'"
bewilderment.n.01,5685030,bewilderment,"'blogs-05.vgl'"
rope.n.01,4108268,rope,"'fables-06.vgl'"
stork.n.01,2002075,stork,"'fables-04.vgl'"
dog.n.01,2084071,dog,"'fables-07.vgl', 'blogs-03.vgl'"
forgivingness.n.01,4829764,forgivingness,"'fables-06.vgl'"
fare.n.04,7560652,fare,"'fables-04.vgl'"
floor.n.02,3365991,floor,"'blogs-07.vgl'"
eagle.n.01,1613294,eagle,"'fables-03.vgl'"
voice.n.01,4981941,voice,"'fables-06.vgl'"
chemise.n.01,3013580,chemise,"'blogs-05.vgl'"
armor.n.01,2739668,armor,"'blogs-01.vgl'"
dish.n.01,3206908,dish,"'fables-04.vgl'"
