synset_id,synset_offset,story_verb,stories,,
arise.v.03,1983264,standup,{'blogs-03.vgl'},,
grab.v.04,2358217,grab,{'blogs-07.vgl'},,
order.v.02,745499,order,{'blogs-06.vgl'},,
err.v.01,617748,slip,{'blogs-04.vgl'},,
attack.v.01,1119169,attack,{'fables-06.vgl', 'blogs-01.vgl', 'fables-02.vgl'}
salivate.v.01,102791,salivate,{'fables-02.vgl'},,
hit.v.01,1405044,hit,{'blogs-07.vgl'},,
remove.v.01,173338,remove,{'blogs-07.vgl', 'fables-02.vgl'},
open.v.02,2426171,open,{'blogs-06.vgl', 'blogs-07.vgl'},
reach.v.02,2006834,reach,{'fables-07.vgl', 'fables-04.vgl'},
restore.v.01,2552449,restore,{'blogs-03.vgl'},,
sing.v.02,1729431,sing,{'fables-01.vgl'},,
kindle.v.02,2761372,kindle,{'fables-05.vgl'},,
sit_down.v.01,1984902,sitdown,{'blogs-07.vgl'},,
run.v.01,2443849,run,{'fables-05.vgl', 'fables-06.vgl'},
escape.v.01,2074677,escape,{'fables-03.vgl'},
damage.v.01,258857,damage,{'blogs-06.vgl'},
insert.v.01,1421622,insert,{'blogs-05.vgl'},
tie.v.01,1285440,tie,{'fables-05.vgl'},
make.v.03,1617192,create,{'blogs-06.vgl'},
hesitate.v.01,2640440,hesitate,{'fables-07.vgl'},
die.v.01,358431,die,{'blogs-02.vgl'},
leave.v.02,613683,leave,{'fables-07.vgl'},
state.v.01,1009240,say,{'fables-02.vgl'},
rede.v.02,872886,advise,{'fables-02.vgl'},
pounce.v.01,2064358,swoop,{'fables-03.vgl'},
give.v.04,2235842,give,{'fables-07.vgl'},
succeed.v.01,2524171,succeed,{'fables-06.vgl', 'fables-02.vgl'}
expect.v.01,719734,expect,{'blogs-07.vgl'},
prowl.v.01,1918304,prowl,{'fables-05.vgl'},
own.v.01,2204692,own,{'blogs-03.vgl'},
admire.v.01,1827858,admire,{'fables-02.vgl'},,
roar.v.04,1996188,roar,{'fables-06.vgl'},,
wonder.v.02,925110,wonder,{'blogs-02.vgl', 'blogs-07.vgl'},
agree.v.01,805376,agree,{'fables-07.vgl'},,
fall.v.07,2620213,fall,{'fables-01.vgl'},,
buy.v.01,2207206,purchase,{'blogs-03.vgl'},,
drink.v.01,1170052,drink,{'blogs-04.vgl', 'fables-04.vgl'},
stand.v.01,1546111,stand,{'fables-01.vgl'},,
enjoy.v.01,1820302,enjoy,{'fables-04.vgl'},,
pull_off.v.03,2522864,manage,{'blogs-07.vgl'},,
revenge.v.01,1153486,retaliate,{'fables-05.vgl'},,
lose.v.01,2287789,lose,{'fables-05.vgl', 'fables-06.vgl', 'blogs-03.vgl'}
extinguish.v.04,471711,eliminate,{'blogs-06.vgl'},,
wake_up.v.02,18526,awake,{'fables-06.vgl', 'blogs-07.vgl'},
kill.v.01,1323958,kill,{'blogs-07.vgl', 'fables-02.vgl'},
snatch.v.01,1439745,snatch,{'fables-01.vgl'},,
wait.v.01,2637938,wait,{'fables-07.vgl'},,,
show.v.01,2148788,present,{'fables-04.vgl'},,,
bathe.v.01,35603,bathe,{'blogs-04.vgl'},,,
break.v.05,334996,break,{'blogs-02.vgl'},,,
remind.v.01,610538,remind,{'fables-07.vgl'},,,
know.v.01,594621,know,{'blogs-02.vgl'},,,
gnaw.v.01,1445597,gnaw,{'fables-06.vgl'},,,
enter.v.01,2016523,enter,{'blogs-02.vgl', 'blogs-07.vgl'},,
detect.v.01,2154508,notice,{'blogs-07.vgl', 'blogs-05.vgl'},,
dine.v.02,1167780,dine,{'fables-04.vgl'},,,
scorch.v.03,582527,scorch,{'blogs-06.vgl'},,,
flatter.v.01,880227,flatter,{'fables-01.vgl'},,,
look.v.01,2130524,look,{'fables-01.vgl', 'blogs-03.vgl', 'blogs-07.vgl', 'blogs-05.vgl'}
bring.v.01,2077656,bring,{'blogs-03.vgl'},,,
steal.v.01,2321757,steal,{'fables-05.vgl'},,,
smash.v.01,1401772,smash,{'blogs-01.vgl'},,,
ignite.v.01,2759614,ignite,{'fables-05.vgl'},,
return.v.01,2004874,return,{'fables-07.vgl'},,
stay.v.02,1857392,stay,{'blogs-02.vgl'},,
decide.v.01,697589,decide,{'fables-03.vgl', 'blogs-02.vgl', 'fables-02.vgl'}
