answer	qid
Louisiana was adversely affected by Hurricane Gustav.	blogs-03-1
The storm rolled in on Monday, September 1, in the morning.	blogs-03-2
Winds started kicking up.	blogs-03-3
President Bush came to Baton Rouge yesterday to assess the damage.	blogs-03-4
Once, storm was occurring in Louisiana.	blogs-03-5
The narrator went back to a store named Home Depot in order to purchase a portable generator.	blogs-03-6
The wife of the narrator stayed in the safe area of some home, a dog stayed in the area of the home, and the group of children of the narrator stayed in the area of the home.	blogs-03-7
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.	blogs-03-8
The narrator brought the family of the narrator to the house of the parent of the narrator.	blogs-03-9
The narrator filled a group of cars and filled the container of some gasoline.	blogs-03-10
An area of a neighborhood of the narrator had a large group of pine trees and had a group of oak trees.	blogs-03-11
The tree split apart and fell on the yard of a neighbor.	blogs-03-12
The narrator stood up on a patio and watched a large tree.	blogs-03-13
The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.	blogs-03-14
My wife, our five children, and our dog, stayed in an area of the home where we felt safest.	blogs-03-15
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-2
The Crow was hugely flattered by this, and just to show the Fox that she could sing she gave a loud caw.	fables-01-3
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.	fables-01-4
The fox came and stood under the tree.	fables-01-5
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-6
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-7
The crow was sitting on a branch of a tree.	fables-01-8
The cheese fell.	fables-01-9
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-10
A fox observed the crow and tried to discover how to get the cheese.	fables-01-11
The fox said that the beauty of the bird was incomparable.	fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-13
A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.	fables-02-1
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-2
The bull was grazing in a meadow.	fables-02-3
The bull was grazing in a meadow.	fables-02-4
The bull was grazing in a meadow.	fables-02-5
The lion walked toward the bull and began to feign that the lion was friendly.	fables-02-6
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-7
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-8
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-9
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-10
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-11
But, my dear friend, what in the world makes you wear those ugly horns?	fables-02-12
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-13
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-14
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.	fables-02-15
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.	fables-02-16
The lion began to be hungry and decided to attempt to kill the bull.	fables-02-17
couldn't find the answer	fables-02-18
A summit meeting named G20 summit started on eventful today.	blogs-01-1
A summit meeting named G20 summit started on eventful today.	blogs-01-2
The people protested peacefully on a street.	blogs-01-3
The people burned a police car and threw a thing at a police.	blogs-01-4
The people rebelled and created riot.	blogs-01-5
The people rebelled and created riot.	blogs-01-6
The people burned a police car and threw a thing at a police.	blogs-01-7
The people burned a police car and threw a thing at a police.	blogs-01-8
The people burned a police car and threw a thing at a police.	blogs-01-9
Police cars were burned and things were thrown at cops.	blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-12
