answer	qid
Louisiana was adversely affected by Hurricane Gustav.	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush	blogs-03-4
Once, storm was occurring in Louisiana.	blogs-03-5
to a store named Home Depot in order to purchase a portable generator	blogs-03-6
a large group of pine trees	blogs-03-7
because owned it a group of trees and near the house of narrator the	blogs-03-8
to the house of the parent of the narrator	blogs-03-9
The narrator	blogs-03-10
An area of a neighborhood of the narrator	blogs-03-11
The tree	blogs-03-12
The narrator	blogs-03-13
The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.	blogs-03-14
My wife, our five children, and our dog, stayed in an area of the home where we felt safest.	blogs-03-15
on a branch of a tree with a piece of cheese in her beak	fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-2
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-3
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.	fables-01-4
The fox came and stood under the tree.	fables-01-5
that the fox had flattered her	fables-01-6
the fox	fables-01-7
The crow was sitting on a branch of a tree.	fables-01-8
The cheese fell.	fables-01-9
a Fox	fables-01-10
A fox	fables-01-11
that the beauty of the bird was incomparable	fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-13
A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.	fables-02-1
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-2
The bull was grazing in a meadow.	fables-02-3
The bull was grazing in a meadow.	fables-02-4
A lion	fables-02-5
that the lion was friendly	fables-02-6
A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.	fables-02-7
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02-8
to eat the bull	fables-02-9
because feared the lion sharp horn every of bull the	fables-02-10
sharp every horn of the bull	fables-02-11
But, my dear friend, what in the world makes you wear those ugly horns?	fables-02-12
A lion	fables-02-13
because wanted the lion to eat the bull	fables-02-14
